iter	Logloss
0	0.6798208669
1	0.6684027815
2	0.6591611947
3	0.649319917
4	0.6425435519
5	0.6350924825
6	0.6288514319
7	0.6233457625
8	0.6157547482
9	0.6109914894
10	0.6054704196
11	0.6001204192
12	0.5956050469
13	0.5913250281
14	0.5862482577
15	0.5830676339
16	0.5787866901
17	0.5746449974
18	0.5722846188
19	0.5697630677
20	0.5669284675
21	0.5639003215
22	0.5612742974
23	0.5581000557
24	0.5549647081
25	0.5520355318
26	0.5500255702
27	0.5482168777
28	0.5458745818
29	0.544415659
30	0.5424766873
31	0.5407583624
32	0.5385234532
33	0.5366653221
34	0.5349954183
35	0.5331307201
36	0.5310680827
37	0.529019597
38	0.5270348866
39	0.5251285194
40	0.5238037142
41	0.5223874316
42	0.5212698151
43	0.5193914276
44	0.5181135174
45	0.5164061531
46	0.5148814201
47	0.5133725037
48	0.5119582097
49	0.5108941478
50	0.5094627884
51	0.5085894973
52	0.5075027279
53	0.5064434295
54	0.5054307948
55	0.504519812
56	0.5036827327
57	0.5022127105
58	0.5012044692
59	0.5008721811
60	0.4996274303
61	0.4985405684
62	0.4972464253
63	0.4962042385
64	0.4954129442
65	0.4944313878
66	0.4935429275
67	0.4928886645
68	0.4920435844
69	0.4910423265
70	0.490397868
71	0.4897286207
72	0.4892032032
73	0.488436605
74	0.4875439825
75	0.4867002898
76	0.4860448706
77	0.4851233434
78	0.4840806941
79	0.4835219783
80	0.4825908317
81	0.481741358
82	0.4810674398
83	0.480236234
84	0.4795758663
85	0.4787447066
86	0.4777918236
87	0.4769568255
88	0.4764033819
89	0.4754502677
90	0.4751036429
91	0.4744818918
92	0.4736474024
93	0.4730490526
94	0.472033088
95	0.4712306943
96	0.4707481482
97	0.4701459136
98	0.4693483296
99	0.4686566986
100	0.4680497005
101	0.4676275998
102	0.4671105068
103	0.4666285156
104	0.4660973171
105	0.465650474
106	0.4648541387
107	0.4643423641
108	0.4636893035
109	0.4630309245
110	0.4625125828
111	0.4617934345
112	0.4610650368
113	0.4602418317
114	0.4597346819
115	0.459444294
116	0.4589506022
117	0.4584592691
118	0.4582346913
119	0.4578529647
120	0.4575110108
121	0.4571073166
122	0.4564820045
123	0.4560421448
124	0.4554139653
125	0.4548658402
126	0.4545169955
127	0.4540218238
128	0.4535297044
129	0.4528491728
130	0.4521326145
131	0.4515506362
132	0.4512212155
133	0.4507014863
134	0.4502105694
135	0.449742175
136	0.449319288
137	0.4489354802
138	0.4484035418
139	0.448033932
140	0.4474766499
141	0.4470617175
142	0.4465858773
143	0.4462735218
144	0.4459198211
145	0.4454943444
146	0.4451643224
147	0.4448686623
148	0.4443871798
149	0.443962073
150	0.4433394895
151	0.4428375194
152	0.4425180418
153	0.4418706697
154	0.4415332481
155	0.4410748431
156	0.4406355846
157	0.440042137
158	0.4395765174
159	0.4391356865
160	0.4387766211
161	0.4385037147
162	0.4381005755
163	0.4377814679
164	0.4372188674
165	0.4367529703
166	0.4363842854
167	0.4360360882
168	0.4358038334
169	0.4352638941
170	0.4347217812
171	0.4343043977
172	0.4339944009
173	0.4334428998
174	0.4330187179
175	0.432468743
176	0.4320238885
177	0.4316120085
178	0.4311734437
179	0.4308442079
180	0.4304216447
181	0.4301061907
182	0.4298055821
183	0.4294261678
184	0.4291666732
185	0.4289625369
186	0.4286092986
187	0.4283533651
188	0.4279369066
189	0.4274970006
190	0.4271308594
191	0.4266455846
192	0.4262022101
193	0.4259087236
194	0.4253186983
195	0.424883972
196	0.4243369569
197	0.4240368108
198	0.4237081762
199	0.4235101445
200	0.423111445
201	0.4226883269
202	0.4222770018
203	0.4219098431
204	0.4215916143
205	0.4213370219
206	0.4209845699
207	0.4206079305
208	0.4203531994
209	0.4199275376
