iter	Passed	Remaining
0	138	55149
1	141	28165
2	144	19147
3	147	14633
4	150	11891
5	152	9995
6	153	8637
7	155	7620
8	157	6829
9	158	6197
10	160	5680
11	162	5249
12	164	4889
13	166	4582
14	168	4312
15	169	4078
16	171	3869
17	173	3679
18	174	3508
19	176	3353
20	178	3213
21	180	3096
22	181	2981
23	183	2873
24	185	2779
25	186	2688
26	188	2603
27	189	2523
28	191	2450
29	193	2380
30	194	2319
31	196	2262
32	198	2206
33	199	2152
34	201	2103
35	203	2054
36	205	2011
37	206	1969
38	208	1927
39	209	1889
40	211	1855
41	213	1821
42	215	1791
43	217	1759
44	218	1727
45	220	1696
46	222	1667
47	223	1640
48	225	1614
49	227	1589
50	228	1566
51	230	1541
52	231	1518
53	233	1498
54	235	1477
55	237	1457
56	238	1437
57	240	1418
58	242	1399
59	243	1379
60	245	1363
61	246	1346
62	248	1329
63	250	1312
64	251	1297
65	253	1281
66	255	1267
67	256	1253
68	258	1238
69	259	1225
70	261	1211
71	263	1198
72	264	1186
73	266	1174
74	268	1162
75	270	1151
76	271	1139
77	273	1128
78	274	1117
79	276	1106
80	278	1096
81	280	1086
82	281	1076
83	283	1066
84	285	1056
85	286	1047
86	288	1037
87	289	1027
88	291	1017
89	292	1009
90	294	1000
91	296	992
92	298	983
93	299	976
94	301	968
95	303	960
96	304	951
97	306	943
98	307	935
99	309	929
100	311	921
101	313	914
102	314	907
103	316	900
104	317	892
105	319	886
106	321	879
107	322	872
108	324	865
109	326	859
110	327	853
111	329	846
112	330	840
113	332	835
114	334	829
115	336	823
116	337	816
117	339	810
118	340	804
119	342	799
120	344	793
121	346	788
122	347	783
123	349	777
124	350	771
125	352	766
126	354	761
127	355	756
128	357	751
129	359	746
130	360	741
131	362	735
132	364	730
133	365	725
134	366	720
135	368	714
136	369	709
137	371	705
138	373	700
139	375	696
140	376	692
141	378	687
142	379	682
143	381	678
144	383	673
145	384	669
146	386	664
147	387	659
148	389	655
149	390	651
150	392	648
151	394	643
152	396	639
153	397	635
154	399	631
155	401	627
156	402	623
157	404	619
158	405	615
159	407	611
160	409	607
161	410	603
162	412	599
163	413	595
164	415	591
165	416	587
166	418	584
167	420	580
168	421	576
169	423	573
170	425	569
171	426	566
172	428	562
173	430	558
174	431	555
175	433	552
176	435	548
177	436	544
178	438	541
179	440	538
180	442	535
181	443	531
182	445	528
183	446	524
184	448	521
185	450	517
186	451	514
187	453	511
188	455	508
189	457	505
190	459	502
191	460	499
192	462	496
193	464	492
194	465	489
195	467	486
196	469	483
197	470	480
198	472	477
199	474	474
200	475	471
201	477	467
202	478	464
203	480	461
204	481	458
205	483	455
206	485	452
207	487	449
208	488	446
209	490	443
210	491	440
211	493	437
212	494	434
213	496	431
214	497	428
215	499	425
216	501	422
217	502	419
218	504	417
219	506	414
220	508	411
221	509	408
222	511	405
223	512	402
224	514	399
225	515	397
226	517	394
227	518	391
228	520	388
229	522	386
230	523	383
231	525	380
232	527	377
233	529	375
234	531	372
235	532	370
236	534	367
237	535	364
238	537	362
239	539	359
240	540	356
241	542	354
242	543	351
243	545	348
244	547	346
245	548	343
246	550	340
247	552	338
248	553	335
249	555	333
250	557	330
251	558	328
252	560	325
253	562	323
254	563	320
255	565	318
256	567	315
257	569	313
258	571	311
259	573	308
260	574	306
261	576	303
262	577	301
263	579	298
264	581	296
265	582	293
266	584	290
267	586	288
268	587	286
269	589	283
270	590	281
271	592	278
272	593	276
273	595	273
274	597	271
275	598	269
276	600	266
277	602	264
278	603	261
279	605	259
280	607	257
281	608	254
282	610	252
283	611	249
284	612	247
285	614	244
286	616	242
287	618	240
288	619	238
289	621	235
290	623	233
291	624	231
292	626	228
293	628	226
294	629	224
295	631	221
296	632	219
297	634	217
298	636	215
299	638	212
300	639	210
301	641	208
302	642	205
303	644	203
304	646	201
305	647	198
306	649	196
307	651	194
308	652	192
309	654	190
310	656	187
311	657	185
312	658	183
313	660	180
314	662	178
315	663	176
316	665	174
317	667	172
318	669	170
319	671	167
320	672	165
321	674	163
322	675	161
323	677	158
324	678	156
325	680	154
326	681	152
327	683	150
328	685	147
329	687	145
330	688	143
331	690	141
332	691	139
333	693	137
334	695	134
335	696	132
336	698	130
337	700	128
338	701	126
339	703	124
340	704	121
341	706	119
342	708	117
343	709	115
344	711	113
345	712	111
346	714	109
347	716	107
348	717	104
349	719	102
350	720	100
351	722	98
352	724	96
353	726	94
354	727	92
355	729	90
356	731	88
357	732	85
358	734	83
359	736	81
360	737	79
361	739	77
362	740	75
363	742	73
364	744	71
365	745	69
366	747	67
367	749	65
368	750	63
369	752	60
370	753	58
371	755	56
372	756	54
373	758	52
374	760	50
375	762	48
376	763	46
377	765	44
378	767	42
379	768	40
380	770	38
381	772	36
382	773	34
383	775	32
384	776	30
385	778	28
386	780	26
387	781	24
388	783	22
389	784	20
390	786	18
391	787	16
392	789	14
393	791	12
394	793	10
395	794	8
396	796	6
397	798	4
398	799	2
399	801	0
